Sample size (n),Count of Defective (np)
1536,33
1536,49
1536,31
1536,52
1536,30
1536,26
1536,51
1536,25
1536,41
1536,18
1536,22
1536,13
1536,13
1536,25
1536,62
1536,15
1536,30
1536,26
1536,4
1536,23
1536,10
1536,6
1536,21
